datetime,V
2022-08-25 16:14,234.4
2022-08-25 16:14,234.4
2022-08-25 16:14,234.1
2022-08-25 16:14,233.6
2022-08-25 16:14,234.3
2022-08-25 16:14,233.4
2022-08-25 16:14,233.7
2022-08-25 16:14,234.0
2022-08-25 16:14,233.8
2022-08-25 16:14,232.2
2022-08-25 16:14,232.6
2022-08-25 16:14,234.3
2022-08-25 16:46,234.7
2022-08-25 16:47,235.0
2022-08-25 16:48,234.9
2022-08-25 16:49,235.3
2022-08-25 16:50,234.8
2022-08-25 16:51,235.3
2022-08-25 16:52,234.6
2022-08-25 16:53,235.4
2022-08-25 16:54,233.0
2022-08-25 19:51,233.0
2022-08-25 19:53,231.3
2022-08-25 19:54,230.5
2022-08-25 19:55,233.0
2022-08-25 19:56,231.2
2022-08-25 19:57,230.0
2022-08-25 19:58,231.0
2022-08-25 19:59,230.6
2022-08-25 20:00,230.4
2022-08-25 20:01,230.6
2022-08-25 20:02,232.1
2022-08-25 20:03,232.9
2022-08-25 20:04,230.8
2022-08-25 20:05,230.0
2022-08-25 20:06,230.5
2022-08-25 20:07,231.4
2022-08-25 20:08,231.7
2022-08-25 20:09,232.7
2022-08-25 20:10,234.1
2022-08-25 20:11,231.7
2022-08-25 20:12,233.1
2022-08-25 20:13,234.0
2022-08-25 20:14,234.1
2022-08-25 20:15,231.3
2022-08-25 20:16,232.4
2022-08-25 20:17,232.7
2022-08-25 20:18,233.1
2022-08-25 20:19,233.0
2022-08-25 20:20,231.6
2022-08-25 20:21,232.4
2022-08-25 20:22,232.0
2022-08-25 20:23,232.8
2022-08-25 20:24,232.4
2022-08-25 20:25,232.7
2022-08-25 20:26,233.1
2022-08-25 20:27,233.3
2022-08-25 20:28,233.9
2022-08-25 20:29,234.0
2022-08-25 20:30,235.2
2022-08-25 20:31,235.2
2022-08-25 20:32,235.6
2022-08-25 20:33,231.6
2022-08-25 20:34,231.5
2022-08-25 20:35,230.5
2022-08-26 07:37,231.6
2022-08-27 15:55,234.8
2022-08-27 15:56,236.0
2022-08-27 15:57,235.4
2022-08-27 15:58,235.1
2022-08-27 15:59,234.6
2022-08-27 16:00,235.9
2022-08-27 16:01,236.9
2022-08-27 16:02,236.6
2022-08-27 16:03,235.3
2022-08-27 16:04,235.8
2022-08-27 16:05,235.5
2022-08-27 16:06,235.5
2022-08-27 16:07,236.5
2022-08-27 16:08,236.1
2022-08-27 16:09,236.0
2022-08-27 16:10,235.3
2022-08-27 16:11,234.8
2022-08-27 16:12,235.5
2022-08-27 16:13,235.7
2022-08-27 16:14,235.5
2022-08-27 16:15,235.9
2022-08-27 16:16,236.2
2022-08-27 16:17,237.3
2022-08-27 16:18,237.3
2022-08-27 16:19,237.4
2022-08-27 16:20,237.9
2022-08-27 16:21,236.8
2022-08-27 16:22,237.7
2022-08-27 16:23,238.6
2022-08-27 16:24,236.9
2022-08-27 16:25,235.6
2022-08-27 16:26,235.8
2022-08-27 16:27,233.9
2022-08-27 16:28,233.6
2022-08-27 16:29,233.8
2022-08-27 16:30,232.7
2022-08-27 16:31,233.2
2022-08-27 16:32,233.7
2022-08-27 16:33,233.9
2022-08-27 16:34,233.2
2022-08-27 16:35,233.6
2022-08-27 16:36,233.5
2022-08-27 16:37,234.2
2022-08-27 16:38,234.5
2022-08-27 16:39,234.2
2022-08-27 16:40,234.5
2022-08-27 16:41,234.6
2022-08-27 16:42,234.9
2022-08-27 16:43,234.3
2022-08-27 16:44,234.2
2022-08-27 16:45,233.9
2022-08-27 16:46,234.4
2022-08-27 16:47,234.2
2022-08-27 16:48,234.0
2022-08-27 16:49,234.9
2022-08-27 16:50,234.4
2022-08-27 16:51,234.2
2022-08-27 16:52,234.5
2022-08-27 16:53,234.0
2022-08-27 16:54,233.9
2022-08-27 16:55,234.4
2022-08-27 16:56,234.4
2022-08-27 16:57,233.7
2022-08-27 16:58,233.8
2022-08-27 16:59,233.9
2022-08-27 17:00,234.2
2022-08-27 17:01,235.0
2022-08-27 17:02,236.1
2022-08-27 17:03,235.6
2022-08-27 17:04,235.7
2022-08-27 17:05,236.3
2022-08-27 17:06,235.8
2022-08-27 17:07,236.0
2022-08-27 17:08,236.0
2022-08-27 17:09,235.4
2022-08-27 17:10,235.2
2022-08-27 17:11,235.0
2022-08-27 17:12,234.6
2022-08-27 17:13,234.2
2022-08-27 17:14,234.6
2022-08-27 17:15,235.8
2022-08-27 17:16,234.3
2022-08-27 17:17,232.9
2022-08-27 17:18,233.5
2022-08-27 17:19,233.8
2022-08-27 17:20,233.4
2022-08-28 15:45,233.7